12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAN001,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAN001-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN002,EC1,0,134,136,0,266,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAN002-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN003-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN004-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN005-FTA,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN006-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN007-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN008-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN009-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN010-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN011-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN012-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN013-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN014-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN015-FTA,EC1,0,134,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAN016-FTA,EC1,0,134,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
